Date,Close,Sentiment
2017-10-05 00:00:00+00:00,36.46,25.0
2017-10-06 00:00:00+00:00,36.44,-4.0
2017-10-09 00:00:00+00:00,36.57,9.0
2017-10-10 00:00:00+00:00,36.58,9.0
2017-10-11 00:00:00+00:00,36.74,8.0
2017-10-12 00:00:00+00:00,36.61,-3.0
2017-10-13 00:00:00+00:00,36.84,-18.0
2017-10-16 00:00:00+00:00,37.52,57.0
2017-10-17 00:00:00+00:00,37.66,22.0
2017-10-18 00:00:00+00:00,37.49,3.0
2017-10-19 00:00:00+00:00,36.6,-4.0
2017-10-20 00:00:00+00:00,36.67,8.0
2017-10-23 00:00:00+00:00,36.65,4.0
2017-10-24 00:00:00+00:00,36.87,-4.0
2017-10-25 00:00:00+00:00,36.7,4.0
2017-10-26 00:00:00+00:00,36.94,5.0
2017-10-27 00:00:00+00:00,38.26,20.0
2017-10-30 00:00:00+00:00,39.12,114.0
2017-10-31 00:00:00+00:00,39.67,26.0
2017-11-01 00:00:00+00:00,39.16,3.0
2017-11-02 00:00:00+00:00,39.45,325.0
2017-11-03 00:00:00+00:00,40.48,192.0
2017-11-06 00:00:00+00:00,40.89,41.0
2017-11-07 00:00:00+00:00,41.02,33.0
2017-11-08 00:00:00+00:00,41.36,53.0
2017-11-09 00:00:00+00:00,41.27,35.0
2017-11-10 00:00:00+00:00,41.14,9.0
2017-11-13 00:00:00+00:00,40.97,18.0
2017-11-14 00:00:00+00:00,40.35,4.0
2017-11-15 00:00:00+00:00,39.82,-10.0
2017-11-16 00:00:00+00:00,40.3,14.0
2017-11-17 00:00:00+00:00,40.07,2.0
2017-11-20 00:00:00+00:00,40.03,11.0
2017-11-21 00:00:00+00:00,40.78,44.0
2017-11-22 00:00:00+00:00,41.2,41.0
2017-11-24 00:00:00+00:00,41.21,4.0
2017-11-27 00:00:00+00:00,41.0,47.0
2017-11-28 00:00:00+00:00,40.76,0.0
2017-11-29 00:00:00+00:00,39.91,-53.0
2017-11-30 00:00:00+00:00,40.47,22.0
2017-12-01 00:00:00+00:00,40.28,8.0
2017-12-04 00:00:00+00:00,39.99,4.0
2017-12-05 00:00:00+00:00,39.95,1.0
2017-12-06 00:00:00+00:00,39.8,2.0
2017-12-07 00:00:00+00:00,39.88,-2.0
2017-12-08 00:00:00+00:00,39.89,9.0
2017-12-11 00:00:00+00:00,40.67,70.0
2017-12-12 00:00:00+00:00,40.44,24.0
2017-12-13 00:00:00+00:00,40.57,52.0
2017-12-14 00:00:00+00:00,40.56,2.0
2017-12-15 00:00:00+00:00,40.97,33.0
2017-12-18 00:00:00+00:00,41.55,50.0
2017-12-19 00:00:00+00:00,41.11,-26.0
2017-12-20 00:00:00+00:00,41.06,9.0
2017-12-21 00:00:00+00:00,41.22,9.0
2017-12-22 00:00:00+00:00,41.22,-13.0
2017-12-26 00:00:00+00:00,40.17,-95.0
2017-12-27 00:00:00+00:00,40.18,-3.0
2017-12-28 00:00:00+00:00,40.29,-11.0
2017-12-29 00:00:00+00:00,39.86,-5.0
2018-01-02 00:00:00+00:00,40.57,59.0
2018-01-03 00:00:00+00:00,40.56,8.0
2018-01-04 00:00:00+00:00,40.75,-9.0
2018-01-05 00:00:00+00:00,41.21,-3.0
2018-01-08 00:00:00+00:00,41.06,1.0
2018-01-09 00:00:00+00:00,41.06,-6.0
2018-01-10 00:00:00+00:00,41.05,-19.0
2018-01-11 00:00:00+00:00,41.28,9.0
2018-01-12 00:00:00+00:00,41.71,55.0
2018-01-16 00:00:00+00:00,41.49,21.0
2018-01-17 00:00:00+00:00,42.18,85.0
2018-01-18 00:00:00+00:00,42.22,47.0
2018-01-19 00:00:00+00:00,42.03,5.0
2018-01-22 00:00:00+00:00,41.69,-22.0
2018-01-23 00:00:00+00:00,41.69,-53.0
2018-01-24 00:00:00+00:00,41.03,-76.0
2018-01-25 00:00:00+00:00,40.3,-26.0
2018-01-26 00:00:00+00:00,40.39,3.0
2018-01-29 00:00:00+00:00,39.56,-48.0
2018-01-30 00:00:00+00:00,39.32,-77.0
2018-01-31 00:00:00+00:00,39.43,12.0
2018-02-01 00:00:00+00:00,39.51,125.0
2018-02-02 00:00:00+00:00,37.8,-151.0
2018-02-05 00:00:00+00:00,36.85,26.0
2018-02-06 00:00:00+00:00,38.4,-9.0
2018-02-07 00:00:00+00:00,37.57,-44.0
2018-02-08 00:00:00+00:00,36.54,-28.0
2018-02-09 00:00:00+00:00,36.99,9.0
2018-02-12 00:00:00+00:00,38.48,72.0
2018-02-13 00:00:00+00:00,38.86,24.0
2018-02-14 00:00:00+00:00,39.58,56.0
2018-02-15 00:00:00+00:00,40.91,88.0
2018-02-16 00:00:00+00:00,40.77,7.0
2018-02-20 00:00:00+00:00,40.64,12.0
2018-02-21 00:00:00+00:00,40.45,1.0
2018-02-22 00:00:00+00:00,40.79,-3.0
2018-02-23 00:00:00+00:00,41.5,15.0
2018-02-26 00:00:00+00:00,42.32,104.0
2018-02-27 00:00:00+00:00,42.18,32.0
2018-02-28 00:00:00+00:00,42.12,2.0
2018-03-01 00:00:00+00:00,41.38,-33.0
2018-03-02 00:00:00+00:00,41.67,-32.0
2018-03-05 00:00:00+00:00,41.81,25.0
2018-03-06 00:00:00+00:00,41.78,-18.0
2018-03-07 00:00:00+00:00,41.39,-13.0
2018-03-08 00:00:00+00:00,41.84,19.0
2018-03-09 00:00:00+00:00,42.56,34.0
2018-03-12 00:00:00+00:00,42.97,77.0
2018-03-13 00:00:00+00:00,42.56,0.0
2018-03-14 00:00:00+00:00,42.2,-26.0
2018-03-15 00:00:00+00:00,42.25,-2.0
2018-03-16 00:00:00+00:00,42.1,0.0
2018-03-19 00:00:00+00:00,41.45,-51.0
2018-03-20 00:00:00+00:00,41.44,-8.0
2018-03-21 00:00:00+00:00,40.5,-48.0
2018-03-22 00:00:00+00:00,39.93,-36.0
2018-03-23 00:00:00+00:00,39.0,-25.0
2018-03-26 00:00:00+00:00,40.85,25.0
2018-03-27 00:00:00+00:00,39.81,-1.0
2018-03-28 00:00:00+00:00,39.37,-74.0
2018-03-29 00:00:00+00:00,39.67,-22.0
2018-04-02 00:00:00+00:00,39.41,-52.0
2018-04-03 00:00:00+00:00,39.82,-4.0
2018-04-04 00:00:00+00:00,40.58,2.0
2018-04-05 00:00:00+00:00,40.86,0.0
2018-04-06 00:00:00+00:00,39.82,-12.0
